,Year,HomeTeam,VisitingTeam,DayofWeek,DayNight,Attendance,Stadium,Capacity,RoofType
0,2000,NYN,CHN,0,1,55000.0,Yankee Stadium,46537,O
1,2000,NYN,SDN,0,0,52308.0,Yankee Stadium,46537,O
2,2000,NYN,SDN,0,1,17585.0,Yankee Stadium,46537,O
3,2000,NYN,SDN,0,1,17482.0,Yankee Stadium,46537,O
4,2000,NYN,LAN,1,1,27791.0,Yankee Stadium,46537,O
5,2000,NYN,LAN,1,0,37814.0,Yankee Stadium,46537,O
6,2000,NYN,MIL,0,1,17905.0,Yankee Stadium,46537,O
7,2000,NYN,MIL,0,1,18001.0,Yankee Stadium,46537,O
8,2000,NYN,MIL,0,1,17002.0,Yankee Stadium,46537,O
9,2000,NYN,CHN,1,0,0.0,Yankee Stadium,46537,O
10,2000,NYN,CHN,1,0,32204.0,Yankee Stadium,46537,O
11,2000,NYN,CHN,1,0,27560.0,Yankee Stadium,46537,O
12,2000,NYN,LAN,0,0,37987.0,Yankee Stadium,46537,O
13,2000,NYN,CIN,0,1,27153.0,Yankee Stadium,46537,O
14,2000,NYN,CIN,0,1,33371.0,Yankee Stadium,46537,O
15,2000,NYN,CIN,0,0,50971.0,Yankee Stadium,46537,O
16,2000,NYN,MIA,1,1,30828.0,Yankee Stadium,46537,O
17,2000,NYN,MIA,1,0,32772.0,Yankee Stadium,46537,O
18,2000,NYN,MIA,1,0,36162.0,Yankee Stadium,46537,O
19,2000,NYN,COL,0,1,25697.0,Yankee Stadium,46537,O
20,2000,NYN,COL,0,1,23665.0,Yankee Stadium,46537,O
21,2000,NYN,ARI,1,1,25292.0,Yankee Stadium,46537,O
22,2000,NYN,ARI,1,0,37121.0,Yankee Stadium,46537,O
23,2000,NYN,ARI,1,0,38826.0,Yankee Stadium,46537,O
24,2000,NYN,TBA,1,1,24123.0,Yankee Stadium,46537,O
25,2000,NYN,TBA,1,1,33694.0,Yankee Stadium,46537,O
26,2000,NYN,TBA,1,0,43610.0,Yankee Stadium,46537,O
27,2000,NYN,BAL,0,1,25192.0,Yankee Stadium,46537,O
28,2000,NYN,BAL,0,1,34492.0,Yankee Stadium,46537,O
29,2000,NYN,BAL,0,1,9540.0,Yankee Stadium,46537,O
30,2000,NYN,PHI,0,1,40386.0,Yankee Stadium,46537,O
31,2000,NYN,PHI,0,1,22524.0,Yankee Stadium,46537,O
32,2000,NYN,PHI,0,1,21005.0,Yankee Stadium,46537,O
33,2000,NYN,PIT,1,1,39849.0,Yankee Stadium,46537,O
34,2000,NYN,PIT,1,1,34894.0,Yankee Stadium,46537,O
35,2000,NYN,PIT,1,0,38984.0,Yankee Stadium,46537,O
